PIERWSZE_IMIĘ,DRUGIE_IMIĘ,NAZWISKO,DATA URODZENIA
EDYTA,TERESA,KERSZKA,16-05-1952
AGNIESZKA,PAULINA,KRÓL,01-10-1934
DOROTA,EDYTA,ROSA,28-02-2010
IGA,MAGDALENA,DOMBROWSKA,06-12-2009
MARYNA,ADRIANA,DUNALSKA,26-01-1976
ANITA,MARIA,MODRZEJEWSKA,19-07-1953
MARIA,LUCYNA,WÓJCIK,17-02-2017
AGNIESZKA,BARBARA,ROJEK,12-08-1944
BARBARA,SYLWIA,GRUNAU,02-10-2022
VALENTYNA,STANISŁAWA,ANTOSZCZYK,05-01-1950
WIESŁAWA,LUCYNA,PIECHOWIAK,03-05-1963
ALICJA,URSZULA,DYMEK,16-07-1960
JADWIGA,ELŻBIETA,CABAJ,07-04-1953
ALEKSANDRA,WERONIKA,PAPROCKA,16-05-1973
MILANA,MAGDA,HOLEKSA,20-04-1927
KATARZYNA,MARIA,WICHROWSKA,21-03-1976
WIOLETTA,JOANNA,SOJA,25-04-1962
STELA,TERESA,POŁOMSKA,05-11-2013
MARIA,MARIA,WERNER,08-10-1958
WERONIKA,BARBARA,KULIBOWSKA,02-06-2022
JOLANTA,WERONIKA,SHLIUSAR,10-05-1985
ANNA,WERONIKA,STOPKA,18-03-1976
BOGUSŁAWA,MARIA,GORZELAK,19-02-2012
TERESA,ANNA,ROSIAK,06-11-1957
ALEKSANDRA,LUCYNA,ROSIEK,21-01-1930
ANNA,JOANNA,GAWRYŚ,18-05-1985
HANNA,NATALIA,WERMTER,13-05-2019
MAŁGORZATA,MAŁGORZATA,ŚWIETLIŃSKA,08-03-1975
AGNIESZKA,ALICJA,GOMÓŁKA,12-03-1966
LILLI,JADWIGA,PRZYBYŁO,19-05-2008
DOROTA,KRYSTYNA,DZIEDZIC,30-04-1944
NATALIA,MARIA,KUSZMAN,16-02-2013
MARTYNA,JULITA,STOPIKOWSKA,12-09-1994
DZINA,MAJA,SKIBA,20-04-1999
STEFANIA,MARIA,PELCZARSKA,05-03-1941
NIKOLA,KRYSTYNA,GRODECKA,24-06-2000
ALICJA,WIKTORIA,JAWIEŃ,14-02-1992
ALEKSANDRA,JADWIGA,IWANUS,06-07-1985
IRENA,MARIA,ANDRZEJEWSKA,11-11-1930
POLA,MARIA,LIPIŃSKA,30-03-1995
PATRYCJA,MAGDALENA,MOSKWYTYN,19-09-1950
ELŻBIETA,MARIA,DZIKIEWICZ,22-07-2002
RENATA,AGATA,DOMINIAK,08-07-2008
DOROTA,HALINA,MOCZARSKA,06-04-1945
HELENA,BOŻENA,BURDAJEWICZ,29-11-2004
