PIERWSZE_IMIĘ,DRUGIE_IMIĘ,NAZWISKO,DATA URODZENIA
ROMAN,BŁAŻEJ,ZDEBSKI,23-12-1964
CEZARY,JERZY,STYLSKI,25-11-2001
SZYMON,SŁAWOMIR,NOWAK,28-03-1987
GRZEGORZ,PATRYK,RADZIEWICZ,18-09-2011
KRZYSZTOF,DOMINIK,KRAMARENKO,20-04-1961
WIKTOR,PIOTR,TOKARSKI,05-04-1959
KACPER,JAN,TERLETSKIY,30-06-1929
MICHAŁ,LECH,CABAK,15-11-1957
HENRYK,JAN,DROŚ,15-11-1982
JEREMIASZ,DOMINIK,BAJSZCZAK,12-09-1993
MIECZYSŁAW,WIESŁAW,KIERZEK,09-02-1989
JÓZEF,MARIAN,STOPKA,26-10-1985
GERARD,ROCH,STACIWA,26-04-1930
PIOTR,MARCIN,SZAPROWSKI,25-01-1952
FILIP,STANISŁAW,KUMOREK,01-05-1957
MATEUSZ,DAWID,BŁASZCZUK,14-11-1924
KRYSTIAN,ROBERT,WALECZEK,15-08-1960
WIESŁAW,ALEKSY,CEBOTARI,09-04-2018
JAKUB,KRZYSZTOF,KLOSKOWSKI,25-01-1943
DANILO,ROBERT,UNGEHOJER,01-08-1993
STEFAN,ARTUR,KISIEL,11-10-1995
RAFAŁ,PIOTR,KUROWIAK,18-05-1976
SERGII,JAN,GRABDA,02-10-1962
MICHAŁ,PAWEŁ,ŻYDOWICZ,30-03-2008
VADYM,PAWEŁ,KRZACZYŃSKI,18-09-1924
WIKTOR,KACPER,MURCZKIEWICZ,08-11-1933
FLORIAN,HENRYK,CZAJA,07-01-1999
ZYGMUNT,PAWEŁ,UHERA,22-09-2006
ADRIAN,WIESŁAW,ŻAROWSKI,08-08-1973
GRZEGORZ,MARCIN,BUCZYŃSKI,28-04-1969
SEBASTIAN,JAN,LEHMAN,22-02-2000
SŁAWOMIR,ŁUKASZ,PRZYBYSZ,04-05-2007
OSKAR,ARTUR,KUBACKI,21-04-1951
ANDRZEJ,MAREK,MARKIEWICZ,07-02-1986
GRZEGORZ,KAZIMIERZ,ZELENSKYI,13-04-1973
SŁAWOMIR,ŁUKASZ,CZAPNIK,06-01-2016
BARTOSZ,PAWEŁ,DĄBROWSKI,29-08-1937
FRANCISZEK,KAROL,MACHULIK,04-03-1965
MIROSŁAW,WŁODZIMIERZ,RZEŹNIKIEWICZ,30-01-1970
MIROSŁAW,KAZIMIERZ,RYBICKI,20-10-1939
ADAM,ARKADIUSZ,FRĄCZEK,29-04-1987
STANISŁAW,DARIUSZ,KIEWLAK,06-11-2009
BOLESŁAW,PIOTR,TRETYN,31-03-1993
ERYK,PIOTR,WOZIWOSIŃSKI,04-06-2014
IGOR,MIECZYSŁAW,RYL,26-02-1951
JAN,PIOTR,KWIATKOWSKI,17-12-1931
