index,person_id,pername1,pername2,sex,dob_day,dob_mon,dob_year,enumcap,enumpc,allInfo
19,DE03US012003,MILLIE,ANDERSON,F,16.0,8,2001.0,12 WINDSOR ROAD,DE03US,millieandersonf16.082001.012windsorroadde03us
34,DE03US015002,ELEANOR,MATTHEWS,F,1.0,9,1962.0,15 WINDSOR ROAD,DE03US,eleanormatthewsf1.091962.015windsorroadde03us
43,DE03US019002,BBANDON,LEWIS,M,17.0,2,1956.0,19 WINDSOR ROAD,DE03US,bbandonlewism17.021956.019windsorroadde03us
80,DE03UT043001,ALI,GRIFFITHS,M,19.0,6,1986.0,43 WINDSOR ROAD,DE03UT,aligriffithsm19.061986.043windsorroadde03ut
97,DE125LU002001,ELLA,MORRIS,F,22.0,6,1973.0,2 PARK LANE,DE125LU,ellamorrisf22.061973.02parklanede125lu
125,DE125LU016001,DANIEL,PATEL,M,26.0,2,1970.0,16 PARK LANE,DE125LU,danielpatelm26.021970.016parklanede125lu
133,DE125LU021001,JESSICA,THOMPSON,F,14.0,9,1960.0,21 PARK LANE,DE125LU,jessicathompsonf14.091960.021parklanede125lu
185,DE13HL021001,HRRRY,DRVIES,M,28.0,4,1984.0,21 ALBERT ROAD,DE13HL,hrrrydrviesm28.041984.021albertroadde13hl
203,DE13HL032001,REUBEN,CLARK,M,20.0,3,1912.0,32 ALBERT ROAD,DE13HL,reubenclarkm20.031912.032albertroadde13hl
207,DE13HL035002,CAMERON,SIMPSON,M,23.0,2,1929.0,35 ALBERT ROAD,DE13HL,cameronsimpsonm23.021929.035albertroadde13hl
232,DE13HN046008,HARVEY,WILKINSON,M,2.0,11,1979.0,46 ALBERT ROAD,DE13HN,harveywilkinsonm2.0111979.046albertroadde13hn
252,DE13HN054001,OLIVER,HARRISON,M,4.0,10,1958.0,54 ALBERT ROAD,DE13HN,oliverharrisonm4.0101958.054albertroadde13hn
289,DE146FT011001,COURTNEY,JONES,F,26.0,5,1970.0,11 HIGHFIELD ROAD,DE146FT,courtneyjonesf26.051970.011highfieldroadde146ft
337,DE146FU035002,FINLEY,HALL,M,29.0,11,1965.0,35 HIGHFIELD ROAD,DE146FU,finleyhallm29.0111965.035highfieldroadde146fu
364,DE146FW050001,HRRRY,PRTEL,M,14.0,7,1944.0,50 HIGHFIELD ROAD,DE146FW,hrrryprtelm14.071944.050highfieldroadde146fw
372,DE146FW054001,RUBY,WEBB,F,9.0,5,1911.0,54 HIGHFIELD ROAD,DE146FW,rubywebbf9.051911.054highfieldroadde146fw
373,DE146FW055001,EVIE,SHAW,F,23.0,12,1978.0,55 HIGHFIELD ROAD,DE146FW,evieshawf23.0121978.055highfieldroadde146fw
391,DE159LU012003,AIDEW,WATSOW,M,17.0,2,1991.0,12 GEORGE STREET,DE159LU,aidewwatsowm17.021991.012georgestreetde159lu
402,DE159LU014004,AMELIE,PRICE,F,29.0,10,1985.0,14 GEORGE STREET,DE159LU,ameliepricef29.0101985.014georgestreetde159lu
